yr,mo,avg_price,min_price,max_price
2016,4,29200.00700639216,28584.066323628296,30291.46495145329
2016,5,29803.745246332248,28741.3469527179,30453.38834410068
2016,6,30355.059505815814,28815.07847616072,31746.930137046933
2016,7,31774.35527838944,31329.04611687233,32547.05345311538
2016,8,31658.960474692867,31025.618924039434,32209.420743065366
2016,9,31259.372709622556,30871.909189396443,31716.442466558612
2016,10,29825.360301919725,29421.049814059912,30806.921092419154
2016,11,29520.556410621542,28408.017401889465,30816.1492761087
2016,12,27620.46283854221,27050.37660201611,28349.647906239734
2017,1,28725.840559403016,27961.111006051007,29252.392902251933
2017,2,29251.417771386063,28780.65906562338,29641.350538638268
2017,3,28669.945451541626,27916.590232361967,29462.537178226972
2017,4,28962.576278293065,28432.57376635082,29439.651268357033
2017,5,28324.347029014418,27661.444047078076,29068.86480107808
2017,6,28720.937003271723,28302.932406153253,29455.066217053693
2017,7,28190.008411794828,27660.470864387775,28792.090188361613
2017,8,29052.998475992383,28329.213245340878,29779.934283281233
2017,9,29929.101519207226,29341.069155102883,30452.466706242547
2017,10,29437.395448775344,28980.535268013205,29939.75034711262
2017,11,29362.710776216012,28890.278105938378,29883.785425278773
2017,12,28761.841432736815,28185.6448377896,29595.578637144234
2018,1,29958.011839930074,29434.945696648847,30633.332474736802
2018,2,30276.716767890153,29677.619052950315,30800.42772855573
2018,3,30452.91029446759,30061.34817317234,31141.816334715422
2018,4,30990.983193008946,30440.36003728551,31440.99587192497
2018,5,31146.531902863026,30640.043786815513,31652.03401577354
2018,6,30703.328205540853,30289.980204173695,31258.09965085069
2018,7,30047.4080466923,29636.35933753429,30672.245164602224
2018,8,29528.73681937268,29106.389654182192,30311.11157056231
2018,9,30612.303209625174,29977.8814867723,31107.754441886063
2018,10,31643.696912092237,30439.58027756685,32279.45663555416
2018,11,31061.331126665697,30172.815338098004,32377.568950466353
2018,12,31432.587032285723,30441.768666845153,31959.479322222764
2019,1,33029.04164184256,32298.880328776715,33947.68986480908
2019,2,33992.21395666038,33571.773848438155,34787.987405654705
2019,3,32741.08317279691,32362.149612091005,33205.78066922951
2019,4,32290.35060539355,31927.283646858552,32795.16845766413
2019,5,32472.646652575,31978.554129681448,33069.04369176872
2019,6,34230.4178999937,33105.590271616806,35619.99542663748
2019,7,35204.43819268601,34550.59621511065,35655.1620168078
2019,8,38704.62690353717,35669.54201856898,40220.03515640502
2019,9,39014.880660497634,37373.989661198546,40630.984498074766
2019,10,38412.21272449044,38016.79526182219,38807.87373366742
2019,11,38015.126438017745,37549.0829128714,38709.66517302646
2019,12,38142.84051666219,37521.820972038026,39192.27496906989
2020,1,40206.695959570534,39163.54001301387,41015.90701392454
2020,2,41296.620998733146,39991.01675650265,43484.31104672633
2020,3,43071.28140731436,39547.26435545404,45940.86147590084
2020,4,46896.5902984179,42997.619180785005,48867.90060205067
2020,5,47146.1108448734,46310.61813666873,48122.01132110458
2020,6,47613.11967397255,45768.18355932233,49092.981929436566
2020,7,50156.354622075356,48309.487947889604,53238.114007171636
2020,8,53160.3151546321,51446.83632669518,55563.98553891346
2020,9,51124.617700706716,49446.76868621596,52444.88486788274
2020,10,50578.41058748413,50085.056413237224,51267.45279709168
2020,11,50153.62778043683,47489.49941265203,52334.25139454515
2020,12,49592.36740778584,48571.785322430376,50360.314422919735
2021,1,48587.571466972295,47606.156971034536,50979.13273589328
2021,2,46787.17729771053,45011.45186316423,48305.995088142125
2021,3,44581.60528323236,43614.95235292392,45239.49713481895
2021,4,46700.399782706714,45002.11186143853,48150.394423371836
2021,5,48304.43886369706,46688.02787069471,49288.516720512074
2021,6,48009.98869205944,46626.97890007475,49483.271234896725
2021,7,47915.35784543717,47028.01198072185,48504.80871907503
