date,gold_inr_per_10g_landed,moving_avg_7d,moving_avg_30d,year_on_year_pct_change,day_30_rolling_volatility
2020-12-07,49690.75150364515,48586.070901291714,50018.80951645424,40.15,1.4134217326222374
2020-12-08,50086.3857767999,48923.432633817196,49994.86270100922,41.7,1.4214758685101776
2020-12-09,48922.39227302269,49128.13161386975,49923.79616976728,41.6,1.477195186893566
2020-12-10,49034.06720567841,49194.17188290613,49888.76319618225,39.54,1.4400254812003224
2020-12-11,49061.2581184456,49254.65040298232,49849.785901121795,38.5,1.4386883124299576
2020-12-14,48772.72959307283,49230.94446481339,49794.584394099315,40.45,1.4389720540239168
2020-12-15,49483.89830055282,49293.06896731896,49744.91897475421,43.09,1.45125257301217
2020-12-16,49518.14626261666,49268.411075743184,49682.28248682767,42.29,1.4412482388254835
2020-12-17,50250.100308283516,49291.79886595479,49651.98135366589,43.28,1.4683514186400735
2020-12-18,50150.95847215152,49467.30832297249,49579.204922919474,44.42,1.3999468422145593
2020-12-21,50028.249477383186,49609.334361787354,49503.967839892706,42.86,1.4000742693680805
2020-12-22,49916.758102396416,49731.54864520899,49514.91850562493,42.64,1.0310668771944405
2020-12-23,50360.314422919735,49958.34647804499,49521.454629792766,43.72,1.0218746119392874
2020-12-24,50207.49039980452,50061.716777937756,49528.6362984404,41.76,1.0214151808779584
2020-12-28,50032.99208066611,50135.26618051529,49512.83276999642,41.01,1.005241903108207
2020-12-29,50001.651233387456,50099.773455530405,49477.50017340283,40.89,0.982551080108849
2020-12-30,50239.795551315074,50112.46446684003,49457.246560557185,41.59,0.9850211620120229
2020-12-31,50076.752145522056,50119.39341943179,49435.65420161933,40.97,0.9857355118753693
2021-01-04,50612.40084195282,50218.77095365311,49440.39484815498,42.49,1.0018749532411686
2021-01-05,50979.13273589328,50307.17356979208,49469.83426422129,44.08,0.9994944266716868
2021-01-06,49820.64404853487,50251.90980532552,49457.572661766906,40.42,1.0861124788135028
2021-01-07,49951.64965992453,50240.28945950738,49479.37615493983,41.26,1.0350003198703688
2021-01-08,47965.129504050725,49949.35778388807,49462.673686056834,34.53,1.2329879822179144
2021-01-11,48322.66917676443,49675.482587522696,49463.268733340505,35.62,1.239468965147429
2021-01-12,48239.55886684468,49413.02640485338,49480.42557393114,35.24,1.2189175250780713
2021-01-13,48289.62918358833,49081.20188223039,49507.09656629562,33.27,1.2147282369568064
2021-01-14,48206.88714851104,48685.16679831914,49494.93329383185,30.64,1.1407060737569668
2021-01-15,47606.156971034536,48368.81150153279,49460.541576935844,24.99,1.1619529720961148
2021-01-19,47937.82055584503,48081.12162952125,49427.17989012251,23.44,1.1636275054066285
2021-01-20,48627.940592382714,48175.80892785319,49413.14368376781,26.14,1.1946784653068534
2021-01-21,48425.66705103217,48190.522909892454,49370.97420201401,26.95,1.1696979112979404
